text,label,source_label,source
Of course they are stupid. They are trans people after all.,hate_speech,hate_speech,external_unified_english
Gay people like you are absolute filth.,hate_speech,hate_speech,external_unified_english
Raping a Muslm like you should not be illegal.,hate_speech,hate_speech,external_unified_english
Then I gave myself a gold star and dickhead of the year award. Sorry I'm so gay,offensive_language,insult,external_unified_english
"Reading more on admin priviledges, aka wanking with the left hand - all I can say is what a bunch of wankers you all are. Don't worry I'll leave you all to Roguegeeks stupidity and incompetence and leave the Wiki-wanker-world. Wikipaedia was a great idea fucked over by idiots like you lot. Tossers!",offensive_language,insult,external_unified_english
Of course the Muslm was the worst of all these motherfuckers.,hate_speech,hate_speech,external_unified_english
"How extremely fabulous for you that you you have delared you the ultimate authority of all things you believe in and therefore you should totally rule wikipedia you fabulous creature you, Jeff G. I'm not sure why, but YOU have decided within SECONDS of my posting, that YOU know so much MORE than anyone else that YOU must have the final word! There are many words for this kind of behavior, Jeff G. The words that spring immediately to mind are butthead, smartass, bully, and creep. I'm sure there are others, but these will suffice to epress my current state of mind at being thwarted in my simple attempts to express myself, you facist nazi, etc.",offensive_language,insult,external_unified_english
We are going to put an end to all disabled people.,hate_speech,hate_speech,external_unified_english
"Dick cheese sounds more fitting for you!!! I don't waste my time with games, you crazy Canuck! Subwayjack",offensive_language,insult,external_unified_english
""" A barnstar for you! The Photographer's Barnstar you can suck it """,offensive_language,insult,external_unified_english
"Silliness You did something silly. Please don't be silly again. 05:18, 2005 Jun 9 (UTC)",offensive_language,insult,external_unified_english
"If the idea comes from a woman, it must be bullsiht.",hate_speech,hate_speech,external_unified_english
"Excuse me, you appear to be a moron. Leave that edit as it is. If you keep threatening me you will be blocked.",offensive_language,insult,external_unified_english
""" FUCK YOU YOU CUNT I HAD A WHOLE DOCUMENTARY ABOUT """"COCKUS AMERICUS"""". Yours truthfuly Timeon PAxMcDowell""",offensive_language,insult,external_unified_english
I'm sorry I'm sorry you're black I know it's hard to afford the unniggerfication surgery,hate_speech,hate_speech,external_unified_english
"'The case against the rebels is poor' says the interviewer, 'I fully agree' says sellstrom , o.k.? shill, and then he elaborates. You, darouet, - fucking useless pro-Putin Russian shills. Fuck off and stop using wikipedia for your Putin-Fascist aims.",offensive_language,insult,external_unified_english
I don't see any difference between a dead rat and a dead trans person.,hate_speech,hate_speech,external_unified_english
< Whoever wrote is a cunt,offensive_language,insult,external_unified_english
"Lazy layabouts Want to live without working, expect debt cancellation.",offensive_language,insult,external_unified_english
"Im busy right now, but I will have your IP banned in few minutes. ^^ Jeez what moron.",offensive_language,insult,external_unified_english
